t,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll_deg,Pitch_deg,Yaw_deg,Ax_w,Ay_w,Az_w,VelX,VelY,VelZ,PosX,PosY,PosZ,|a_body|,|a_world|
1.05,5.229,1.69,6.211,0.259,-0.25986,-0.20819,16.622,-44.083,-160.7484549839996,-3.7488387698377688,-1.9689314789491177,-2.912205802322992,-4.398617070556057,-2.749372245822454,-1.6602416382508727,-2.39088428584319,-1.4761593169124372,-0.72558662947669,8.293073133645935,5.139204795113658
1.06,5.78,1.551,6.369,0.259,-0.25986,-0.20819,16.474,-44.692,-160.74643524599963,-3.7769479104104695,-1.892474300789371,-2.873622212822967,-4.4363865496601615,-2.7682969888303477,-1.6889778603791024,-2.4352481513397914,-1.5038422868007406,-0.742476408080481,8.739460051971175,5.109256219757607
1.07,5.78,1.551,6.369,0.259,-0.25986,-0.20819,16.32,-45.297,-160.74439550799963,-3.814147420234968,-1.800426648085921,-2.8509247389676164,-4.474528023862511,-2.7863012553112068,-1.7174871077687786,-2.4799934315784165,-1.5317052993538527,-0.7596512791581688,8.739460051971175,5.09087698983982
1.08,5.55,1.288,5.923,0.259,-0.25986,-0.20819,16.117,-45.906,-160.7401757699996,-3.8519277137722967,-1.7196313242327874,-2.8316019641872723,-4.513047301000235,-2.8034975685535346,-1.7458031274106514,-2.5251239045884186,-1.559740275039388,-0.7771093104322753,8.218477535407638,5.08059530832745
1.09,5.55,1.288,5.923,0.259,-0.25986,-0.20819,15.907999999999998,-46.516,-160.7357360319996,-3.93201384260188,-1.6168860770766793,-2.8149276686948803,-4.552367439426254,-2.8196664293243012,-1.7739524040976002,-2.570647578982681,-1.587936939332631,-0.7948488344732513,8.218477535407638,5.0989088268610185
1.1,5.583,1.178,5.574,0.259,-0.25986,-0.20819,15.639,-47.181,-160.72965629399957,-4.014006926814504,-1.5006614375777698,-2.8105018854247303,-4.592507508694399,-2.834673043700079,-1.8020574229518476,-2.616572654069625,-1.616283669769632,-0.8128694087027698,7.976656505077801,5.1247592340249275
1.11,5.583,1.178,5.574,0.259,-0.25986,-0.20819,15.353000000000002,-47.84,-160.72333655599957,-4.092964522862745,-1.3981968639280806,-2.806136793930682,-4.633437153923026,-2.8486550123393597,-1.8301187908911545,-2.662907025608855,-1.6447702198930254,-0.8311705966116814,7.976656505077801,5.1557459947094895
1.12,5.952,1.053,5.516,0.259,-0.25986,-0.20819,14.941,-48.538,-160.71405681799956,-4.14809634715212,-1.345476106841169,-2.8356225633563588,-4.674918117394547,-2.8621097734077714,-1.8584750165247181,-2.7096562067828005,-1.6733913176271031,-0.8497553467769285,8.182992667722488,5.201707852345508
1.1300000000000001,5.952,1.053,5.516,0.259,-0.25986,-0.20819,14.518000000000002,-49.23,-160.70445707999954,-4.211209284386252,-1.2881012907808007,-2.843502743617825,-4.71703021023841,-2.8749907863155792,-1.8869100439608963,-2.7568265088851844,-1.702141225490259,-0.8686244472165375,8.182992667722488,5.242041246039011
1.1400000000000001,6.139,0.086,5.578,0.259,-0.25986,-0.20819,13.936,-49.905,-160.69089734199957,-4.2327162992580885,-1.2998074686574503,-2.859157694520093,-4.759357373230991,-2.8879888610021536,-1.9155016209060973,-2.8044200826174945,-1.7310211141002805,-0.8877794634255985,8.295107051750447,5.2706896557961205
1.1500000000000001,6.139,0.086,5.578,0.259,-0.25986,-0.20819,13.326,-50.581,-160.67689760399952,-4.270084283084112,-1.271333310018529,-2.8659946869066926,-4.802058216061832,-2.900702194102339,-1.9441615677751642,-2.8524406647781126,-1.760028136041304,-0.9072210791033501,8.295107051750447,5.297530907430557
1.16,6.129,-0.283,5.55,0.259,-0.25986,-0.20819,12.585,-51.279,-160.6592778659995,-4.289902810200278,-1.2097701098821594,-2.852203032624372,-4.844957244163835,-2.9127998952011604,-1.972683598101408,-2.900890237219751,-1.7891561349933156,-0.9269479150843642,8.273284112128628,5.2916795045656535
1.17,6.129,-0.283,5.55,0.3219,-0.38187,-0.22537,11.81,-51.971,-160.6412664919995,-4.3509011118833545,-1.1115111476219028,-2.768308455865844,-4.888466255282668,-2.9239150066773796,-2.0003666826600663,-2.9497748997725775,-1.8183952850600893,-0.946951581910965,8.273284112128628,5.275351099547205
1.18,6.732,-0.148,5.349,0.3219,-0.38187,-0.22537,10.865,-52.668,-160.61919511799948,-4.407324626887796,-1.004710874936069,-2.6541499127127435,-4.932539501551546,-2.9339621154267403,-2.026908181787194,-2.999100294788093,-1.8477349062143567,-0.9672206637288369,8.59962377084021,5.241990658913798
1.19,6.732,-0.148,5.349,0.3219,-0.38187,-0.22537,9.877,-53.35,-160.59636374399952,-4.509327056018799,-0.8928974637341001,-2.4885140829657644,-4.977632772111734,-2.9428910900640814,-2.0517933226168514,-3.0488766225092103,-1.8771638171149974,-0.9877385969550053,8.59962377084021,5.2272362410747135
